id;marker1_x[m];marker1_y[m];marker1_z[m];marker2_x[m];marker2_y[m];marker2_z[m];marker3_x[m];marker3_y[m];marker3_z[m];marker4_x[m];marker4_y[m];marker4_z[m]
315;-2.2990338802337646;-0.5731483101844788;-4.157295227050781;-2.2921321392059326;-0.42330414056777954;-4.16213846206665;-2.2293941974639893;-0.5167253613471985;-4.181283950805664;-2.3774595260620117;-0.5089443325996399;-4.157762050628662
316;-2.23201584815979;-0.6425262093544006;-4.149936676025391;-2.225497007369995;-0.49266183376312256;-4.154686450958252;-2.1644978523254395;-0.5859913229942322;-4.17915678024292;-2.3102192878723145;-0.5783342123031616;-4.143889427185059
317;-2.205260992050171;-0.7010770440101624;-4.201432228088379;-2.198254108428955;-0.5512382984161377;-4.206294536590576;-2.135112762451172;-0.6446800827980042;-4.223956108093262;-2.2836570739746094;-0.6368751525878906;-4.203688144683838
318;-2.1779747009277344;-0.7653364539146423;-4.198681831359863;-2.1706323623657227;-0.6155152916908264;-4.203592300415039;-2.106438636779785;-0.7090121507644653;-4.216538429260254;-2.256023406982422;-0.7011530995368958;-4.206547737121582
319;-2.157801389694214;-0.8096979260444641;-4.2357001304626465;-2.150322914123535;-0.6598840355873108;-4.2406229972839355;-2.0857956409454346;-0.7533981204032898;-4.251642227172852;-2.235599994659424;-0.7455280423164368;-4.245827674865723
320;-2.1353132724761963;-0.8605669736862183;-4.244769096374512;-2.1277143955230713;-0.7107593417167664;-4.24970006942749;-2.0629374980926514;-0.8042864799499512;-4.259014129638672;-2.212839365005493;-0.7964115738868713;-4.256882667541504
321;-2.102630615234375;-0.9382194876670837;-4.250049591064453;-2.0949153900146484;-0.7884179353713989;-4.254985332489014;-2.029938220977783;-0.8819555640220642;-4.26265287399292;-2.1798486709594727;-0.8740801811218262;-4.264068126678467
322;-2.077692747116089;-0.9963050484657288;-4.270944118499756;-2.069924831390381;-0.8465063571929932;-4.275881290435791;-2.0048701763153076;-0.9400480389595032;-4.282806396484375;-2.154757261276245;-0.9321738481521606;-4.2858171463012695
323;-2.05759859085083;-1.0461881160736084;-4.2393059730529785;-2.049799680709839;-0.896390974521637;-4.244243621826172;-1.9847034215927124;-0.9899349808692932;-4.250732421875;-2.134568691253662;-0.9820617437362671;-4.25468111038208
324;-2.0248899459838867;-1.126428484916687;-4.194231986999512;-2.017059803009033;-0.9766328930854797;-4.1991705894470215;-1.9519240856170654;-1.0701789855957031;-4.205217361450195;-2.1017613410949707;-1.0623072385787964;-4.210113525390625
325;-2.0027315616607666;-1.1765573024749756;-4.198336601257324;-1.9948899745941162;-1.0267624855041504;-4.203275203704834;-1.9297398328781128;-1.1203092336654663;-4.2091546058654785;-2.0795648097991943;-1.1124382019042969;-4.214409351348877
326;-1.976226568222046;-1.2426949739456177;-4.142872333526611;-1.9679151773452759;-1.0929255485534668;-4.147812366485596;-1.9030396938323975;-1.1866722106933594;-4.15354061126709;-2.052828311920166;-1.1783428192138672;-4.159118175506592
327;-1.9618810415267944;-1.2761822938919067;-4.14640998840332;-1.951441764831543;-1.1265462636947632;-4.1513566970825195;-1.887898325920105;-1.2212046384811401;-4.157026290893555;-2.0375494956970215;-1.2107514142990112;-4.162720680236816
328;-1.9357067346572876;-1.3496776819229126;-4.118184566497803;-1.9147831201553345;-1.201145052909851;-4.123147487640381;-1.8580354452133179;-1.300032138824463;-4.12872838973999;-2.0065770149230957;-1.2791004180908203;-4.134592056274414
329;-1.917202353477478;-1.4088459014892578;-4.069540500640869;-1.8826595544815063;-1.2628785371780396;-4.074510097503662;-1.835275650024414;-1.3665810823440552;-4.080047130584717;-1.9812490940093994;-1.3320331573486328;-4.085996150970459
330;-1.8987795114517212;-1.474865198135376;-3.96323823928833;-1.8462642431259155;-1.3343597650527954;-3.9682085514068604;-1.8122094869613647;-1.4431716203689575;-3.9737160205841064;-1.9527186155319214;-1.390653371810913;-3.9797275066375732
