id;pos_x[m];pos_y[m];pos_z[m];or_x[rad];or_y[rad];or_z[rad];or_q_x;or_q_y;or_q_z;or_q_w
153;-1.662334680557251;1.9837403297424316;-3.7562453746795654;-3.036014934618556e-05;-0.001742720351388784;1.1056425827908998;0.0004446238453965634;-0.0007495388272218406;0.5250901579856873;0.8510461449623108
154;-1.604145884513855;2.1363720893859863;-3.7730660438537598;-3.2490560033164255e-05;-0.0012303588395080208;1.1135563737691807;0.00031130225397646427;-0.0005308488616719842;0.5284536480903625;0.8489618897438049
155;-1.556270718574524;2.2619729042053223;-3.7865545749664307;-3.089271435530775e-05;-0.0009262560513437084;1.1196439538097906;0.00023284890630748123;-0.00040063392953015864;0.531035304069519;0.8473495244979858
156;-1.4981963634490967;2.4143617153167725;-3.79923677444458;-2.6631601312203145e-05;-0.0006561278817071074;1.1257721187314516;0.0001638030807953328;-0.00028455545543693006;0.5336291790008545;0.845718502998352
157;-1.4435992240905762;2.5576553344726562;-3.807478904724121;-2.1837944120264743e-05;-0.00047445295352422815;1.1304918715705061;0.00011784346861531958;-0.00020617598784156144;0.5356234908103943;0.8444569110870361
158;-1.3854159116744995;2.7096493244171143;-3.812323570251465;0.016416069032216384;-0.0003381962147312515;1.1345971274308067;0.0070130773819983006;0.00426797941327095;0.5373387932777405;0.8433265686035156
159;-1.319419503211975;2.878666877746582;-3.813153028488159;0.16577211006481135;-0.012227542434419226;1.1367556846388613;0.07305257022380829;0.03942800685763359;0.5368342995643616;0.8395937085151672
160;-1.2637890577316284;3.0315327644348145;-3.809558629989624;0.28519932289145483;-0.022761467265902134;1.1372349786565557;0.12581230700016022;0.0670279785990715;0.534330427646637;0.8331683874130249
161;-1.2084671258926392;3.205988883972168;-3.799755096435547;0.3756547706603884;-0.03177464777294777;1.1369443997989614;0.16573989391326904;0.08735717833042145;0.5313100218772888;0.826201319694519
162;-1.1665022373199463;3.366137981414795;-3.7851295471191406;0.4320590150341929;-0.03733632698818778;1.1366718290464783;0.19043850898742676;0.09998434036970139;0.5290005207061768;0.8209109902381897
163;-1.1326020956039429;3.530656099319458;-3.764458417892456;0.4720534202906628;-0.041239631363197034;1.1365434155513354;0.2078358232975006;0.10892508924007416;0.5272075533866882;0.8166956305503845
164;-1.1086256504058838;3.6898012161254883;-3.739147663116455;0.49912196639096135;-0.043855809308281986;1.136556456763693;0.21954530477523804;0.11497987806797028;0.5259481072425842;0.8136081099510193
165;-1.0919960737228394;3.8636982440948486;-3.705760955810547;0.5198736672465766;-0.045838230794225256;1.1366810333825623;0.228478342294693;0.11963474005460739;0.5249804258346558;0.811098575592041
166;-1.0859709978103638;4.043393611907959;-3.664794921875;0.43480427698731133;-0.03854166419295051;1.1414978768967163;0.19163736701011658;0.10067588090896606;0.53094482421875;0.8192906379699707
167;-1.0883244276046753;4.216830253601074;-3.620809555053711;0.3244877407120742;-0.03108764384337577;1.1517207020113451;0.14381825923919678;0.07508799433708191;0.5394459962844849;0.8262421488761902
168;-1.096632480621338;4.404128551483154;-3.5694735050201416;0.22446819897513196;-0.02862047338933343;1.1773726817043533;0.10103221982717514;0.050356876105070114;0.5530518293380737;0.8254636526107788
169;-1.1088775396347046;4.593472957611084;-3.5139503479003906;0.15768412545443652;-0.0284271210271018;1.2209846507406863;0.07264970988035202;0.03353695943951607;0.5723496079444885;0.8160962462425232
170;-1.123128056526184;4.773075103759766;-3.458958864212036;0.11246648102759554;-0.028243894912402836;1.2786409924970916;0.05351123958826065;0.022215958684682846;0.5962846875190735;0.8006795048713684
171;-1.140903353691101;4.9652628898620605;-3.4035768508911133;0.07798068538560586;-0.02619790967723616;1.3454276947782327;0.03864097595214844;0.0140500133857131;0.6229832172393799;0.7811539173126221
172;-1.1609008312225342;5.158583164215088;-3.354949951171875;0.05362644284719078;-0.022206422810234473;1.4027823465358153;0.027642086148262024;0.008819904178380966;0.6452367901802063;0.7634314298629761
173;-1.1809465885162354;5.3410844802856445;-3.3106918334960938;0.037186062058314824;-0.017750499530125308;1.4432966730209011;0.019818870350718498;0.005620224867016077;0.6606066823005676;0.7504494190216064
174;-1.2029427289962769;5.535211086273193;-3.2602345943450928;0.02539099776248313;-0.013068079714638537;1.467228411584537;0.013803783804178238;0.003647175617516041;0.6695518493652344;0.7426280975341797
175;-1.2254539728164673;5.729434013366699;-3.2069854736328125;0.017629662117051637;-0.009134052549053133;1.4720414442305154;0.009598839096724987;0.00253295642323792;0.6713407635688782;0.7410823106765747
176;-1.2510632276535034;5.946510314941406;-3.145611524581909;0.011936228945902959;-0.005810976358561722;1.4560613456243507;0.006388347130268812;0.001802282640710473;0.6653991341590881;0.7464582920074463
177;-1.2770216464996338;6.163498878479004;-3.083400249481201;0.007869097262887894;-0.003487585972810133;1.4185548481098975;0.00412135012447834;0.0012392689241096377;0.6512848138809204;0.7588210105895996
178;-1.301801085472107;6.357788562774658;-3.026284694671631;-0.09177365028722007;-0.0027546892472373567;1.3697348605254285;-0.034656625241041183;-0.030082063749432564;0.6318549513816833;0.7737269401550293
179;-1.3248345851898193;6.551905155181885;-2.968545436859131;-0.21804985857076706;0.005362637592400287;1.3040383540922482;-0.08810503035783768;-0.06390567868947983;0.6034196019172668;0.789961040019989
180;-1.3413866758346558;6.734526634216309;-2.9124128818511963;-0.32112724167418927;0.10221312799039597;1.2035930838463498;-0.16016383469104767;-0.0488225594162941;0.564845085144043;0.8080308437347412
181;-1.3517253398895264;6.92279577255249;-2.852590322494507;-0.4074404708031561;0.17059421070912192;1.0832380725909725;-0.21573877334594727;-0.03242775797843933;0.5177968144416809;0.8272193074226379
182;-1.353962779045105;7.101611614227295;-2.7926809787750244;-0.4756812764006905;0.20696388959760084;0.9530404033313629;-0.25428506731987;-0.01828562468290329;0.465018630027771;0.8477985858917236
183;-1.3454113006591797;7.315083026885986;-2.7133376598358154;-0.5414367540537167;0.222742878821162;0.7733629907559354;-0.2865309715270996;-0.0010389462113380432;0.3886581063270569;0.8756961226463318
184;-1.3311115503311157;7.463810920715332;-2.649796485900879;-0.577713568542258;0.220152879792682;0.6268488537383763;-0.3018060624599457;0.012878164649009705;0.32352396845817566;0.8967048525810242
185;-1.3129464387893677;7.589494228363037;-2.5877015590667725;-0.6024731516050679;0.2109568002951693;0.4831405009193918;-0.31053751707077026;0.02703801542520523;0.25751611590385437;0.9146150946617126
186;-1.286237120628357;7.725926876068115;-2.5064454078674316;-0.6234608432033016;0.19578095145135493;0.29503618780841756;-0.3155955672264099;0.04714853689074516;0.16888001561164856;0.9325534105300903
187;-1.263893961906433;7.818039894104004;-2.438210964202881;-0.6343124806858835;0.1840193248945387;0.13726770620658374;-0.3158024549484253;0.06579466909170151;0.09347075968980789;0.9419145584106445
188;-1.2416439056396484;7.899272918701172;-2.362318992614746;-0.6426588614143399;0.17776559561756725;-0.04062705863099307;-0.3128058612346649;0.09059490263462067;0.008832558989524841;0.9454454183578491
